wAja wAja
ke ke
muwAbika muwAbika
bqhaspawivAra bqhaspawivAra
ko ko
Pira Pira
ema. ema.
jI. jI.
- -
vana vana
para para
kArravAI kArravAI
SurU SurU
kara kara
xI xe
. .
isa yaha
mOYla mOYla
ke kA
jiwane jiwanA
hisse hissA
ko ko
buladojara buladojara
kI kA
maxaxa maxaxa
se se
girAyA girA
jA jA
sakawA saka
WA WA
use vaha
nigama nigama
xaswe xaswA
pahale pahalA
hI hI
hatA hatA
cuke cuka
We WA
. .
aba aba
nigama nigama
xaswe xaswA
haWOdZoM haWOdA
kI kA
maxaxa maxaxa
se se
isa yaha
AlISAna AlISAna
mOYla mOYla
ko ko
girAne girA
meM meM
jute juta
hEM hE
. .
nigama nigama
xaswoM xaswA
ne ne
isa yaha
kArravAI kArravAI
ke ke
xOrAna xOrAna
gEsa gEsa
katara katara
kI kA
maxaxa maxaxa
se se
mOYla mOYla
ke kA
pilara pilara
ko ko
BI BI
kAtane kAta
kI kA
koSiSa koSiSa
kI kara
gaI jA
lekina lekina
nigama nigama
inheM yaha
kAtane kAta
meM meM
nAkAma nAkAma
rahA raha
. .
isakA yaha
kAraNa kAraNa
leMtara leMtara
kI kA
motAI motAI
aXika aXika
honA ho
bawAyA bawA
gayA jA
hE hE
. .
isake yaha
bAxa bAxa
CawoM Cawa
ko ko
wodZA woda
gayA jA
. .
SukravAra SukravAra
ko ko
BI BI
ema. ema.
jI. jI.
- -
vana vana
para para
kArravAI kArravAI
jArI jArI
rahegI raha
. .
mOYla mOYla
ke kA
karmacAriyoM karmacArI
, COMMA
PESana PESana
dijAinara dijAinara
rohiwa rohiwa
gAMXI gAMXI
Ora Ora
suniwa suniwa
varmA varmA
ne ne
kArravAI kArravAI
ke ke
KilAPa KilAPa
praxarSana praxarSana
kara kara
viroXa viroXa
prakata prakata
kiyA kara
. .
inakA yaha
kahanA kaha
WA WA
ki ki
nagara nagara
nigama nigama
aXikAriyoM aXikArI
ne ne
pEsA pEsA
KAkara KA
piCale piCalA
pAMca pAMca
sAla sAla
meM meM
mOYla mOYla
kA kA
nirmANa nirmANa
karAyA karA
hE hE
Ora Ora
inako yaha
calAne calA
ke ke
lie lie
unake vaha
pAsa pAsa
nigama nigama
kI kA
anumawi anumawi
BI BI
hE hE
. .
ina yaha
kAgajAwoM kAgajAwa
ko ko
BI BI
PESana PESana
dijAinaroM dijAinara
ne ne
xiKAyA xiKA
. .
xera xera
SAma SAma
ina yaha
logoM loga
ne ne
presa presa
sammelana sammelana
ko ko
BI BI
saMboXiwa saMboXiwa
kiyA kara
, COMMA
jisameM jo
ina yaha
logoM loga
kA kA
kahanA kaha
WA WA
ki ki
Ane A
vAle vAlA
xo xo
sapwAha sapwAha
meM meM
PESana PESana
vIka vIka
Ane A
vAlA vAlA
hE hE
jisa jo
para para
isa yaha
kArravAI kArravAI
kA kA
sIXA sIXA
asara asara
padZegA pada
. .
vyavasAyI vyavasAyI
rawana rawana
pAMde pAMde
kA kA
kahanA kaha
WA WA
ki ki
SIlA SIlA
xIkRiwa xIkRiwa
sarakAra sarakAra
PESana PESana
dijAinaroM dijAinara
ko ko
badZI badA
maCaliyAM maCalI
bawAkara bawA
niSAnA niSAnA
banA banA
rahI raha
hE hE
. .
suprIma suprIma
korta korta
ne ne
maMgalavAra maMgalavAra
ko ko
keMxra keMxra
Ora Ora
rAjya rAjya
sarakAroM sarakAra
se se
SarAba SarAba
para para
pUrNa pUrNa
pAbaMxI pAbaMxI
lagAne lagA
para para
gaMBIrawA gaMBIrawA
se se
vicAra vicAra
karane kara
ko ko
kahA kaha
. .
axAlawa axAlawa
ne ne
mOjUxA mOjUxA
hAlAwa hAlAwa
para para
ciMwA ciMwA
jawAwe jawA
hue ho
kahA kaha
ki ki
vAswava vAswava
meM meM
aba aba
aXika aXika
se se
aXika aXika
yuvAoM yuvA
ko ko
SarAba SarAba
kI kA
lawa lawa
lagawI laga
jA jA
rahI raha
hE hE
. .
jastisa jastisa
esa. esa.
bI. bI.
sinhA sinhA
Ora Ora
jastisa jastisa
pI. pI.
ke. ke
bAlAsubrahmaNyama bAlAsubrahmaNyama
ne ne
kahA kaha
ki ki
BArawIya BArawIya
saMviXAna saMviXAna
ke kA
anucCexa anucCexa
47 47
ke ke
wahawa wahawa
SAsana SAsana
para para
jimmexArI jimmexArI
dAlI dAla
gaI jA
hE hE
ki ki
vaha vaha
rAjya rAjya
meM meM
SarAba SarAba
ke kA
sevana sevana
meM meM
kamI kamI
lAne lA
kI kA
koSiSa koSiSa
kare kara
. .
yaha yaha
kamI kamI
isa yaha
haxa haxa
waka waka
lAI lA
jAe jA
ki ki
XIre XIre
- -
XIre XIre
SarAba SarAba
para para
Kuxa Kuxa
ba ba
Kuxa Kuxa
prawibaMXa prawibaMXa
laga laga
jAe jA
. .
KaMdapITa KaMdapITa
ne ne
kahA kaha
ki ki
EsA EsA
lagawA laga
hE hE
ki ki
aba aba
vaha vaha
sahI sahI
samaya samaya
A A
gayA jA
hE hE
jaba jaba
rAjyoM rAjya
Ora Ora
keMxra keMxra
sarakAra sarakAra
ko ko
anucCexa anucCexa
47 47
ke kA
lakRya lakRya
ko ko
hAsila hAsila
karane kara
ke ke
lie lie
gaMBIrawA gaMBIrawA
se se
kaxama kaxama
uTAne uTA
para para
vicAra vicAra
karanA kara
hogA ho
. .
sarvocca sarvocca
axAlawa axAlawa
ne ne
bOYmbe bOYmbe
hAIkorta hAIkorta
kI kA
nAgapura nAgapura
KaMdapITa KaMdapITa
ke kA
aMwarima aMwarima
AxeSa AxeSa
ke ke
KilAPa KilAPa
mahArARtra mahArARtra
kI kA
apIla apIla
kI kA
sunavAI sunavAI
ke ke
xOrAna xOrAna
sarakAra sarakAra
ko ko
yaha yaha
suJAva suJAva
xiyA xe
. .
axAlawa axAlawa
ne ne
rAjya rAjya
meM meM
eka eka
SarAba SarAba
nirmAwA nirmAwA
se se
lAiseMsa lAiseMsa
Sulka Sulka
lene le
para para
roka roka
lagA laga
xI xe
WI WA
. .
KaMdapITa KaMdapITa
ne ne
hAIkorta hAIkorta
ke kA
AxeSa AxeSa
ko ko
xarakinAra xarakinAra
kara kara
xiyA xe
. .
kahA kaha
ki ki
saMviXAna saMviXAna
ke kA
anucCexa anucCexa
47 47
ke ke
anusAra anusAra
rAjya rAjya
ko ko
pORtikawA pORtikawA
ke kA
swara swara
ko ko
baDZAne baDA
Ora Ora
logoM loga
ke kA
jIvana jIvana
swara swara
ko ko
suXArane suXAra
kA kA
xAyiwva xAyiwva
niBAnA niBA
cAhie cAhie
. .
sAWa sAWa
hI hI
janasvAsWya janasvAsWya
ko ko
apanI apanA
prAWamika prAWamika
jimmexAriyoM jimmexArI
meM meM
SumAra SumAra
karanA kara
cAhie cAhie
. .
KAsakara KAsakara
isa yaha
bAwa bAwa
kA kA
BI BI
ulleKa ulleKa
hE hE
ki ki
rAjya rAjya
ko ko
cikiwsakIya cikiwsakIya
upayoga upayoga
ko ko
CodZakara Coda
svAsWya svAsWya
ke ke
lie lie
hAnikAraka hAnikAraka
naSIle naSIlA
peya peya
Ora Ora
naSIlI naSIlA
xavAoM xavA
ke kA
sevana sevana
para para
pAbaMxI pAbaMxI
lagAnI lagA
cAhie cAhie
. .
isI yaha
waraha waraha
anucCexa anucCexa
37 37
ke ke
anusAra anusAra
rAjya rAjya
kI kA
nIwiyoM nIwi
saMbaMXI saMbaMXI
nIwi nIwi
nirxeSaka nirxeSaka
wawva wawva
meM meM
kahA kaha
gayA jA
hE hE
ki ki
ina yaha
nIwiyoM nIwi
ko ko
kisI koI
axAlawa axAlawa
ke ke
jarie jariye
lAgU lAgU
nahIM nahIM
kiyA kara
jA jA
sakawA saka
. .
lekina lekina
vaha vaha
xeSa xeSa
ke kA
suSAsana suSAsana
ke ke
lie lie
kisI koI
mOlika mOlika
xAyiwva xAyiwva
se se
kama kama
nahIM nahIM
hEM hE
. .
isalie isalie
yaha yaha
rAjya rAjya
kA kA
karwavya karwavya
hE hE
ki ki
vaha vaha
ina yaha
sixXAMwoM sixXAMwa
ko ko
lAgU lAgU
karane kara
ke ke
lie lie
kAnUna kAnUna
banAe banA
. .
KaMdapITa KaMdapITa
ne ne
kahA kaha
ki ki
yaha yaha
GqNiwa GqNiwa
saccAI saccAI
hE hE
ki ki
xeSa xeSa
kI kA
yuvA yuvA
pIDZI pIDI
SarAba SarAba
ke kA
naSe naSA
kI kA
giraPwa giraPwa
meM meM
AwI A
jA jA
rahI raha
hE hE
. .
isa yaha
kadZavI kadZavA
saccAI saccAI
para para
axAlawa axAlawa
saMjFAna saMjFAna
le le
sakawI saka
hE hE
. .
loga loga
SarAba SarAba
kA kA
sevana sevana
PESana PESana
meM meM
nahIM nahIM
NULL _
balki balki
usake vaha
lawI lawI
hokara ho
kara kara
rahe raha
hEM hE
. .
kAMcI kAMcI
kAmakoti kAmakoti
pITa pITa
ke kA
SaMkarAcArya SaMkarAcArya
jayeMxra jayeMxra
sarasvawI sarasvawI
ne ne
vArwA vArwA
ke ke
jariye jariye
ayoXyA ayoXyA
masalA masalA
sulaJAne sulaJA
kI kA
xiSA xiSA
meM meM
eka eka
bAra bAra
Pira Pira
maxaxa maxaxa
kI kA
peSakaSa peSakaSa
kI kara
hE hE
. .
buXavAra buXavAra
ko ko
unhoMne vaha
kahA kaha
ki ki
yaxi yaxi
naI nayA
keMxra keMxra
sarakAra sarakAra
cAhe cAha
wo wo
isa yaha
mAmale mAmalA
ko ko
sulaJAne sulaJA
kI kA
xiSA xiSA
meM meM
vaha vaha
eka eka
bAra bAra
Pira Pira
apanI apanA
sevA sevA
xe xe
sakawe saka
hEM hE
. .
NULL _
gOrawalaba gOrawalaba
hE hE
ki ki
rAjaga rAjaga
sarakAra sarakAra
ke ke
samaya samaya
SaMkarAcArya SaMkarAcArya
ne ne
xonoM xo
samuxAyoM samuxAya
ke kA
newAoM newA
se se
bAwacIwa bAwacIwa
karake kara
ayoXyA ayoXyA
vivAxa vivAxa
sulaJAne sulaJA
kI kA
koSiSa koSiSa
kI kara
WI WA
lekina lekina
bAwa bAwa
nahIM nahIM
bana bana
pAI pA
WI WA
. .
jammU jammU
- -
kaSmIra kaSmIra
ke kA
dodA dodA
jile jilA
meM meM
ugravAxiyoM ugravAxI
ne ne
ravivAra ravivAra
ko ko
eka eka
grAmINa grAmINa
kI kA
golI golI
mArakara mAra
hawyA hawyA
kara kara
xI xe
. .
AXikArika AXikArika
sUwroM sUwra
ke ke
muwAbikZa muwAbika
ugravAxI ugravAxI
mohammaxa mohammaxa
raPIkZa raPIkZa
ko ko
kiSawavAdZa kiSawavAdZa
wahasIla wahasIla
sWiwa sWiwa
unake vaha
Gara Gara
se se
uTAkara uTA
le le
gae jA
Ora Ora
yAwanA yAwanA
xene xe
ke ke
bAxa bAxa
use vaha
golI golI
mAra mAra
xI xe
. .
pulisa pulisa
ne ne
raPIkZa raPIkZa
kA kA
Sava Sava
barAmaxa barAmaxa
kara kara
usake vaha
parivAra parivAra
vAloM vAlA
ko ko
sOMpa sOMpa
xiyA xe
hE hE
. .
vahIM vahIM
ugravAxiyoM ugravAxI
ne ne
rAjOrI rAjOrI
Sahara Sahara
meM meM
ravivAra ravivAra
ko ko
senA senA
ke kA
eka eka
kZAPile kAPilA
para para
greneda greneda
se se
hamalA hamalA
kiyA kara
. .
AXikArika AXikArika
sUwroM sUwra
ne ne
bawAyA bawA
ki ki
greneda greneda
ke kA
Patane Pata
se se
koI koI
jZaKmI jaKmI
nahIM nahIM
huA ho
. .
pulisa pulisa
ne ne
bawAyA bawA
ki ki
ugravAxiyoM ugravAxI
ne ne
rAjOrI rAjOrI
ke kA
awi awi
surakRiwa surakRiwa
dIsI dIsI
kAlonI kAlonI
ke ke
nikata nikata
greneda greneda
se se
hamalA hamalA
kiyA kara
. .
isa yaha
kAlonI kAlonI
meM meM
jilA jilA
praSAsana praSAsana
Ora Ora
pulisa pulisa
ke kA
ucca ucca
aXikArI aXikArI
rahawe raha
hEM hE
. .
mAnava mAnava
aMgoM aMga
kI kA
waskarI waskarI
kA kA
BArawa BArawa
eka eka
bahuwa bahuwa
badZA badA
muKya muKya
bAjAra bAjAra
bana bana
cukA cuka
hE hE
. .
eka eka
aXyayana aXyayana
meM meM
kahA kaha
gayA jA
hE hE
ki ki
kevala kevala
aMgoM aMga
kI kA
waskarI waskarI
meM meM
kidanI kidanI
kA kA
bAjAra bAjAra
hI hI
40 40
karodZa karoda
se se
Upara Upara
kA kA
NULL _
hE hE
. .
EsA EsA
mAnA mAna
jA jA
rahA raha
hE hE
ki ki
marane mara
ke ke
bAxa bAxa
aMgoM aMga
ke kA
xAna xAna
kie kara
jAne jA
kI kA
prakriyA prakriyA
meM meM
kamI kamI
Ane A
se se
waskarI waskarI
ke kA
bAjAra bAjAra
meM meM
vqxXi vqxXi
huI ho
hE hE
. .
isa yaha
XaMXe XaMXA
meM meM
garIboM garIba
ke ke
alAvA alAvA
aMgoM aMga
ke kA
jarUrawamaMxoM jarUrawamaMxa
kA kA
BI BI
jamakara jamakara
SoRaNa SoRaNa
huA ho
hE hE
. .
mAnava mAnava
aMgoM aMga
ke kA
vyApAra vyApAra
meM meM
aba aba
BArawa BArawa
hI hI
nahIM nahIM
NULL _
NULL _
cIna cIna
, COMMA
SrIlaMkA SrIlaMkA
Ora Ora
wurkI wurkI
jEse jEsA
xeSa xeSa
BI BI
waskarI waskarI
kI kA
lista lista
meM meM
SAmila SAmila
ho ho
cuke cuka
hEM hE
. .
sarakAra sarakAra
ne ne
aMgoM aMga
kI kA
waskarI waskarI
rokane roka
ke ke
lie lie
mAnava mAnava
aMga aMga
trAMsaplAMteSana trAMsaplAMteSana
kAnUna kAnUna
varRa varRa
1994 1994
meM meM
banAyA banA
WA WA
. .
sarakAra sarakAra
ne ne
svecCA svecCA
se se
xAna xAna
xene xe
vAloM vAlA
ke ke
lie lie
rAheM rAha
AsAna AsAna
banAne banA
kI kA
bAwa bAwa
kahI kaha
WI WA
. .
lekina lekina
nae nayA
SoXoM SoXa
meM meM
yaha yaha
bAwa bAwa
spaRta spaRta
ho ho
gaI jA
ki ki
kAnUna kAnUna
ke kA
kaI kaI
biMxu biMxu
logoM loga
ko ko
kAPI kAPI
nirASa nirASa
karane kara
vAle vAlA
lage laga
. .
xillI xillI
viSvavixyAlaya viSvavixyAlaya
ke kA
kAnUna kAnUna
viBAga viBAga
ke kA
eka eka
proPesara proPesara
ne ne
isa yaha
xiSA xiSA
meM meM
aXyayana aXyayana
karake kara
kuCa kuCa
niRkarRa niRkarRa
nikAle nikAla
. .
' SINGLE_QUOTE
OYrgana OYrgana
trAMsaplAMta trAMsaplAMta
ina ina
iMdiyA iMdiyA
e e
soSiyo soSiyo
lIgala lIgala
stadI stadI
' SINGLE_QUOTE
meM meM
kahA kaha
gayA jA
hE hE
ki ki
kAnUna kAnUna
kI kA
XArA XArA
( (
5 5
) )
( (
xba xba
) )
meM meM
kahA kaha
gayA jA
hE hE
ki ki
kisI koI
BI BI
lAvArisa lAvArisa
SarIra SarIra
se se
usakI vaha
mqwyu mqwyu
ke kA
48 48
GaMte GaMtA
ke ke
bAxa bAxa
hI hI
aMga aMga
ko ko
nikAlA nikAla
jA jA
sakawA saka
hE hE
, COMMA
jabaki jabaki
iwane iwanA
samaya samaya
ke ke
bAxa bAxa
SarIra SarIra
ko ko
cikiwsakIya cikiwsakIya
rUpa rUpa
se se
bekAra bekAra
BI BI
mAnA mAna
jAwA jA
hE hE
. .
isake yaha
alAvA alAvA
aMga aMga
ke kA
prawyAropaNa prawyAropaNa
kI kA
prakriyA prakriyA
kA kA
saMcAlana saMcAlana
kevala kevala
vahI vaha
aspawAla aspawAla
kara kara
sakawA saka
hE hE
, COMMA
jise jo
kAnUna kAnUna
ke ke
wahawa wahawa
mAnyawA mAnyawA
prApwa prApwa
kametI kametI
xvArA xvArA
aXikqwa aXikqwa
kiyA kara
gayA jA
ho ho
. .
xUsarI xUsarA
ora ora
, COMMA
xurGatanA xurGatanA
ke kA
SikAra SikAra
logoM loga
ke ke
lie lie
postamOYrtama postamOYrtama
prakriyA prakriyA
para para
hI hI
nirBara nirBara
rahanA raha
padZawA pada
hE hE
. .
SoXa SoXa
ke kA
niRkarRa niRkarRa
aMjU aMjU
valI valI
tikkU tikkU
ne ne
proPesara proPesara
esa. esa.
sI. sI.
rEnA rEnA
ke kA
nirxeSana nirxeSana
meM meM
nikAle nikAla
hEM hE
. .
kAnUna kAnUna
meM meM
yaha yaha
kahA kaha
gayA jA
hE hE
ki ki
kisI koI
vyakwi vyakwi
kI kA
( (
brena brena
) )
deWa deWa
hone ho
ke ke
bAxa bAxa
usake vaha
SarIra SarIra
ke kA
aMga aMga
ko ko
nikAlA nikAla
jA jA
sakawA saka
hE hE
, COMMA
lekina lekina
isa yaha
bAre bAre
meM meM
dOYktara dOYktara
kI kA
riporta riporta
milane mila
ke ke
bAxa bAxa
hI hI
kArravAI kArravAI
saMBava saMBava
ho ho
sakegI saka
. .
hAlAMki hAlAMki
isa yaha
pUrI pUrA
prakriyA prakriyA
meM meM
kAPI kAPI
xera xera
ho ho
jAwI jA
hE hE
. .
kAnUna kAnUna
eka eka
ora ora
wo wo
logoM loga
ko ko
apane apanA
aMgoM aMga
ko ko
mqwyu mqwyu
ke ke
uparAMwa uparAnwa
xAna xAna
xene xe
ke ke
lie lie
uwpreriwa uwpreriwa
BI BI
karawA kara
hE hE
, COMMA
lekina lekina
xUsarI xUsarA
ora ora
kAnUna kAnUna
mqwakoM mqwaka
ke kA
parijanoM parijana
se se
isa yaha
biMxu biMxu
para para
BI BI
jora jora
xene xe
ko ko
kahawA kaha
hE hE
ki ki
apane apanA
jIvanakAla jIvanakAla
meM meM
mqwa mqwa
vyakwi vyakwi
ne ne
aMga aMga
xAna xAna
karane kara
kI kA
sahamawi sahamawi
xI xe
WI WA
yA yA
nahIM nahIM
NULL _
. .
isase yaha
yahI yaha
sAbiwa sAbiwa
howA ho
hE hE
ki ki
kAnUna kAnUna
aMga aMga
ke kA
prawyAropaNa prawyAropaNa
ko ko
roka roka
sakawA saka
hE hE
, COMMA
jabaki jabaki
xUsarI xUsarA
ora ora
loga loga
apane apanA
aMgoM aMga
ko ko
svecCA svecCA
se se
xAna xAna
karane kara
kI kA
bAwa bAwa
karawe kara
hEM hE
. .
SoXa SoXa
meM meM
kahA kaha
gayA jA
hE hE
ki ki
hara hara
sAla sAla
sadZaka sadaka
xurGatanAoM xurGatanA
meM meM
60 60
hajAra hajAra
loga loga
marawe mara
hEM hE
, COMMA
jinameM jo
se se
20 20
hajAra hajAra
logoM loga
kI kA
brena brena
deWa deWa
howI ho
hE hE
. .
agara agara
samaya samaya
para para
ina yaha
logoM loga
se se
prApwa prApwa
aMgoM aMga
ko ko
saMrakRiwa saMrakRiwa
kara kara
liyA le
jAe jA
wo wo
xeSa xeSa
meM meM
waskarI waskarI
ke kA
vyApAra vyApAra
ko ko
rokA roka
jA jA
sakawA saka
hE hE
. .
BArawa BArawa
meM meM
isa yaha
vakwa vakwa
eka eka
lAKa lAKa
logoM loga
para para
kZarIba karIba
6 6
prawiSawa prawiSawa
loga loga
kidanI kidanI
ke kA
prawyAropaNa prawyAropaNa
kI kA
cAhawa cAhawa
raKawe raKa
hEM hE
. .
yUropIya yUropIya
xeSoM xeSa
meM meM
vijFAna vijFAna
ke kA
viBinna viBinna
viRayoM viRaya
ke kA
SoXakarwAoM SoXakarwA
kI kA
saMKyA saMKyA
hAla hAla
ke kA
varRoM varRa
meM meM
GatawI Gata
gaI jA
hE hE
. .
yahI yaha
vajaha vajaha
hE hE
ki ki
yUropIya yUropIya
xeSoM xeSa
ne ne
aba aba
BArawa BArawa
kI kA
waraPa waraPa
xeKanA xeKa
SurU SurU
kara kara
xiyA xe
hE hE
. .
NULL _
mAnA mAna
jAwA jA
hE hE
ki ki
BArawa BArawa
vEjFAnika vEjFAnika
prawiBAoM prawiBA
se se
samqxXa samqxXa
xeSa xeSa
hE hE
. .
britena britena
, COMMA
italI italI
Ora Ora
nIxaralEMdsa nIxaralEMdsa
ne ne
spaRta spaRta
saMkewa saMkewa
xie xe
hEM hE
ki ki
ve vaha
varka varka
paramita paramita
ke kA
niyamoM niyama
meM meM
parivarwana parivarwana
kara kara
BArawIya BArawIya
SoXakarwAoM SoXakarwA
ke ke
lie lie
apane apanA
xaravAje xaravAjA
Kola Kola
rahe raha
hEM hE
. .
jarmanI jarmanI
BI BI
jalxa jalxa
hI hI
isI yaha
waraha waraha
kA kA
ruKa ruKa
apanAne apanA
vAlA vAlA
hE hE
. .
AXikArika AXikArika
sUwroM sUwra
ne ne
bawAyA bawA
ki ki
ina yaha
xeSoM xeSa
ne ne
BArawa BArawa
sarakAra sarakAra
se se
kahA kaha
hE hE
ki ki
aba aba
varka varka
paramita paramita
kI kA
jarUrawa jarUrawa
nahIM nahIM
hE hE
. .
BArawIya BArawIya
SoXakarwA SoXakarwA
kisI koI
BI BI
saMsWAna saMsWAna
meM meM
jAkara jA
5 5
varRa varRa
waka waka
kAma kAma
kara kara
sakawe saka
hEM hE
. .
jarmanI jarmanI
ke kA
cAMsalara cAMsalara
gErahArda gErahArda
Sroedara Sroedara
kA kA
BArawa BArawa
kA kA
xo xo
xivasIya xivasIya
xOrA xOrA
buXavAra buXavAra
se se
SurU SurU
hone ho
vAlA vAlA
hE hE
. .
isa yaha
xOre xOrA
ke ke
samaya samaya
Sroedara Sroedara
vijFAna vijFAna
evaM evaM
prOxyogikI prOxyogikI
ke kA
kRewra kRewra
meM meM
sahayoga sahayoga
baDZAne baDA
para para
viSeRa viSeRa
bala bala
xeMge xe
. .
ve vaha
BArawa BArawa
se se
anuroXa anuroXa
kara kara
sakawe saka
hEM hE
ki ki
SoXakarwAoM SoXakarwA
ko ko
jarmanI jarmanI
BejA Beja
jAe jA
. .
aXikAriyoM aXikArI
ne ne
kahA kaha
ki ki
aXikawara aXikawara
yUropIya yUropIya
xeSoM xeSa
meM meM
SoXakarwAoM SoXakarwA
kI kA
kamI kamI
hE hE
. .
ye yaha
xeSa xeSa
mAnava mAnava
saMsAXana saMsAXana
vikAsa vikAsa
ko ko
saMpawwi saMpawwi
kA kA
xarjA xarjA
xewe xe
hEM hE
. .
sUcanA sUcanA
prOxyogikI prOxyogikI
ke kA
kRewra kRewra
meM meM
BArawa BArawa
kI kA
viSiRtawA viSiRtawA
ko ko
xuniyABara xuniyABara
meM meM
mAnyawA mAnyawA
mila mila
hI hI
cukI cuka
hE hE
. .
Sroedara Sroedara
ke kA
xOre xOrA
ke ke
samaya samaya
BArawa BArawa
Ora Ora
jarmanI jarmanI
ke kA
sahayoga sahayoga
se se
eka eka
vijFAna vijFAna
sarkala sarkala
kA kA
uxGAtana uxGAtana
kiyA kara
jAegA jA
. .
2001 2001
se se
hara hara
sAla sAla
isa yaha
waraha waraha
Ayojana Ayojana
kiyA kara
jAwA jA
rahA raha
hE hE
. .
pUrva pUrva
praXAnamaMwrI praXAnamaMwrI
atala atala
bihArI bihArI
vAjapeyI vAjapeyI
ne ne
piCale piCalA
sAla sAla
jarmanI jarmanI
kA kA
xOrA xOrA
kiyA kara
WA WA
. .
Sroedara Sroedara
2001 2001
meM meM
BArawa BArawa
ke kA
xOre xOrA
para para
Ae A
We WA
. .
2002 2002
meM meM
jarmanI jarmanI
meM meM
cunAva cunAva
hone ho
ke ke
kAraNa kAraNa
vijFAna vijFAna
sarkala sarkala
kA kA
Ayojana Ayojana
nahIM nahIM
kiyA kara
gayA jA
WA WA
. .
Sroedara Sroedara
ke kA
xOre xOrA
ke ke
samaya samaya
eka eka
vebasAita vebasAita
BI BI
SurU SurU
kI kara
jAegI jA
, COMMA
jisameM jo
xonoM xo
xeSoM xeSa
ke kA
vEjFAnikoM vEjFAnika
, COMMA
SoXakarwAoM SoXakarwA
Ora Ora
saMsWAnoM saMsWAna
ke ke
bIca bIca
saMparka saMparka
kZAyama kAyama
karane kara
kI kA
koSiSa koSiSa
kI kara
jAegI jA
. .
suprIma suprIma
korta korta
ko ko
buXavAra buXavAra
ko ko
sUciwa sUciwa
kiyA kara
gayA jA
ki ki
lagAwAra lagAwAra
avEXa avEXa
Kanana Kanana
se se
arAvalI arAvalI
pahAdZiyoM pahAdZI
ke kA
paryAvaraNa paryAvaraNa
va va
hariyAlI hariyAlI
ko ko
kRawi kRawi
pahuzcAI pahuzcA
jA jA
rahI raha
hE hE
. .
jabaki jabaki
hariyANA hariyANA
meM meM
Kanana Kanana
para para
pUrI pUrA
waraha waraha
se se
prawibaMXa prawibaMXa
hE hE
. .
jastisa jastisa
vAI. vAI.
ke. ke.
sabbaravAla sabbaravAla
ke kA
newqwva newqwva
vAlI vAlA
KaMdapITa KaMdapITa
ko ko
variRTa variRTa
aXivakwA aXivakwA
raMjIwa raMjIwa
kumAra kumAra
ne ne
arAvalI arAvalI
parvawa parvawa
se se
Kanana Kanana
se se
nikAlI nikAla
gaI jA
sAmagrI sAmagrI
ko ko
le le
jA jA
rahe raha
sEkadZoM sEkadA
trakoM traka
kI kA
wasvIra wasvIra
sAkRya sAkRya
ke ke
wOra wOra
para para
xiKAI xiKA
. .
KaMdapITa KaMdapITa
ne ne
Poto Poto
vAlA vAlA
yaha yaha
sAkRya sAkRya
hariyANA hariyANA
sarakAra sarakAra
kI kA
ora ora
se se
Ae A
sOYlIsitara sOYlIsitara
janarala janarala
jI. jI.
I. I.
vAhanavatI vAhanavatI
ko ko
sOMpane sOMpa
kA kA
nirxeSa nirxeSa
xiyA xe
. .
vAhanavatI vAhanavatI
ne ne
ASvAsana ASvAsana
xiyA xe
ki ki
hariyANA hariyANA
meM meM
Kanana Kanana
kArya kArya
para para
pUrI pUrA
waraha waraha
se se
prawibaMXa prawibaMXa
lAgU lAgU
hE hE
Ora Ora
isakA yaha
ullaMGana ullaMGana
karane kara
vAloM vAlA
ke ke
KilAPZa KilAPa
eka eka
kArya kArya
- -
yojanA yojanA
wEyAra wEyAra
kI kara
jA jA
rahI raha
hE hE
. .
vAhanavatI vAhanavatI
ne ne
ASvAsana ASvAsana
xiyA xe
ki ki
avEXa avEXa
Kanana Kanana
para para
najZara najara
raKane raKa
ke ke
lie lie
sarakAra sarakAra
gudZagAMva gudZagAMva
ke kA
upAyukwa upAyukwa
kI kA
banAI banA
wriswarIya wriswarIya
kArya kArya
- -
yojanA yojanA
para para
vicAra vicAra
kara kara
rahI raha
hE hE
. .
arAvalI arAvalI
parvawa parvawa
aXiniyama aXiniyama
rAjasWAna rAjasWAna
ke kA
regiswAna regiswAna
ko ko
mExAnI mExAnI
ilAkoM ilAkA
meM meM
Age Age
baDZane baDa
se se
rokane roka
ke kA
baMXa baMXa
ke ke
wOra wOra
para para
kAma kAma
karawA kara
hE hE
. .
BAjapA BAjapA
ne ne
kahA kaha
hE hE
ki ki
yUpIe yUpIe
sarakAra sarakAra
ke kA
goXarA goXarA
kAMda kAMda
kI kA
jAMca jAMca
ke ke
lie lie
uccaswarIya uccaswarIya
samiwi samiwi
kA kA
gaTana gaTana
keMxrIya keMxrIya
maMwrimaMdala maMwrimaMdala
xvArA xvArA
uTAyA uTA
gayA jA
SarmanAka SarmanAka
kaxama kaxama
hE hE
. .
isase yaha
goXarA goXarA
kAMda kAMda
ke kA
una vaha
hawyAroM hawyArA
ko ko
bala bala
milegA mila
, COMMA
jinhoMne jo
nirxoRa nirxoRa
relayAwriyoM relayAwrI
ko ko
jiMxA jiMxA
jalA jalA
xiyA xe
WA WA
. .
BAjapA BAjapA
mahAsaciva mahAsaciva
aruNa aruNa
jetalI jetalI
ne ne
kahA kaha
ki ki
lAlU lAlU
yAxava yAxava
Ora Ora
unake vaha
sahayogI sahayogI
isa yaha
